"Direction";"Address (hex)";"Master PDOs (hex)";"Node-ID (hex)";"Main-Index (hex)";"Sub-Index (hex)";"Slave PDOs (hex)";"Size (bit,hex)";"Parameter Name"
"IN";"00000000";"1";"02";"6000";"01";"1";"08";"Input"
"IN";"00000001";"1";"02";"6000";"02";"1";"08";"Input"
"IN";"00000002";"2";"02";"6401";"01";"2";"10";"Input"
"IN";"00000004";"2";"02";"6401";"02";"2";"10";"Input"
"IN";"00000006";"2";"02";"6401";"03";"2";"10";"Input"
"IN";"00000008";"2";"02";"6401";"04";"2";"10";"Input"
"OUT";"00000000";"1";"02";"6200";"01";"1";"08";"Output"
"OUT";"00000001";"1";"02";"6200";"02";"1";"08";"Output"
"OUT";"00000002";"2";"02";"6411";"01";"2";"10";"Output"
"OUT";"00000004";"2";"02";"6411";"02";"2";"10";"Output"
"OUT";"00000006";"2";"02";"6411";"03";"2";"10";"Output"
"OUT";"00000008";"2";"02";"6411";"04";"2";"10";"Output"
